lat,lon,tipo,nome
41.3869391,2.1742811,restaurant,Restaurant La Plassohla
41.3872289,2.1747514,fast_food,Rodilla
41.3876221,2.1736824,cafe,Roger
41.3866484,2.1670403,parking,Ronda Universidad 14
41.38691657368421,2.170042752631579,parking,Saba Bamsa Plaça Catalunya
41.3877363,2.1678928,parking,Saba Bamsa Rambla Catalunya
41.3884562,2.1738887,theatre,Sala Ars
41.3877111,2.1735366,parking,Sereki Europea
41.3857903,2.1738261,restaurant,Set de Gòtic
41.3866107,2.1750351,pub,SK
41.3880191,2.1679205,cafe,Starbucks
41.3858116,2.1679219,cafe,Starbucks
41.3865348,2.1667428,cafe,Syra Coffee
41.3882932,2.1705399,fast_food,Taco Bell
41.3866066,2.1738348,restaurant,taller tapas
41.3883948,2.1717497,restaurant,Taverna Iberia
41.3877311,2.1682772,nightclub,The Black Room
41.3868338,2.1676098,restaurant,The Ranch Smokehouse
41.3875063,2.1737779,restaurant,Tomahawk Grill House
41.386702,2.1740599,cafe,Trigo
41.387684,2.1683456,restaurant,Trobadour
41.3870784,2.1683518,restaurant,Txapela
41.3886294,2.1714279,fast_food,Viena
41.3853204,2.1677663,restaurant,Xaica
